season,team,seed,adj_offense,adj_defense,tempo,sos,net_rating,q1_wins,q2_wins,q3_losses,q4_losses,recent_form,injuries_impact,fg3_pct,tov_pct,orb_pct,drb_pct,ft_rate,ast_rate,stl_rate,blk_rate,three_rate,opp_three_rate,opp_fg3_pct,opp_ft_rate
2021,Butler,4,102.920678,98.143961,65.75,18.035179,12.619595,7,2,0,0,0.465129,0,0.323105,0.173992,0.285006,0.714994,0.294329,0.538462,0.084563,0.031027,0.397703,0.372674,0.338414,0.297329
2021,BYU,1,115.644595,94.165366,71.493269,15.775041,24.78082,14,2,0,0,0.682509,0,0.378247,0.186139,0.241211,0.758789,0.274245,0.573901,0.066171,0.039272,0.395633,0.353365,0.337052,0.329235
2021,C Arkansas,11,98.329359,106.706257,73.848958,6.732689,-2.134452,1,0,5,0,0.220437,0,0.363248,0.236406,0.276715,0.723285,0.320605,0.531353,0.06827,0.03611,0.337176,0.345534,0.337544,0.326765
2021,C Connecticut,12,96.768283,105.90738,71.989286,4.520459,-4.029676,0,2,9,0,0.307519,0,0.323974,0.197119,0.274096,0.725904,0.28374,0.517241,0.095914,0.03572,0.376423,0.36793,0.331943,0.311507
2021,C Michigan,10,102.892948,105.567622,75.105435,1.8853,-1.114393,1,1,5,1,0.140663,0,0.329004,0.177721,0.294118,0.705882,0.36909,0.389857,0.108833,0.038786,0.326041,0.397186,0.327341,0.27401
2021,CA Baptist,7,111.737802,101.561345,71.220652,1.805081,7.037776,1,5,2,0,0.500221,0,0.393053,0.189247,0.26143,0.73857,0.342579,0.635647,0.070815,0.034797,0.410045,0.361782,0.324876,0.326792
2021,Cal Poly,11,92.153639,100.820287,68.554167,7.155243,-2.222512,0,0,3,0,0.151682,0,0.319756,0.202395,0.24036,0.75964,0.295057,0.574181,0.090561,0.051055,0.373384,0.34608,0.341457,0.308944
2021,California,4,104.549776,98.444454,66.334483,16.964933,12.914924,4,3,0,0,0.25774,0,0.327974,0.192338,0.25627,0.74373,0.346354,0.523449,0.065499,0.033789,0.404948,0.360525,0.343768,0.312534
2021,CALVIN,13,77.844458,95.761752,70.85,-3.41648,-11.21612,0,0,1,0,0.048245,0,0.25,0.225829,0.405405,0.594595,0.089552,0.565217,0.169372,0.028229,0.41791,0.381616,0.311436,0.302693
2021,Camp-Harrod,16,78.832424,132.297119,82.8875,8.073682,-37.725671,0,0,0,0,0.000607,0,0.267857,0.21113,0.293103,0.706897,0.216418,0.595745,0.108581,0.012065,0.41791,0.434241,0.369179,0.263822
2021,Campbell,9,106.660311,102.288272,66.594444,0.128031,3.099222,0,2,3,0,0.834041,0,0.375,0.181864,0.215124,0.784876,0.339248,0.553648,0.091766,0.033926,0.369056,0.381829,0.332779,0.324597
2021,Canisius,9,99.249003,98.643017,71.523077,2.402124,2.620571,0,3,3,0,0.578863,0,0.296636,0.167778,0.288889,0.711111,0.315522,0.514019,0.078512,0.048398,0.416031,0.365949,0.331613,0.343958
2021,CARLOW,16,71.837869,139.22705,78.175,0.582042,-49.217358,0,0,1,0,0.000051,0,0.242424,0.204669,0.233333,0.766667,0.206349,0.5,0.051167,0.025584,0.52381,0.36244,0.306931,0.321172
2021,Carver,16,60.246212,134.064261,75.284524,2.254947,-51.458943,0,0,13,1,0.000197,0,0.232836,0.307405,0.239203,0.760797,0.234081,0.442197,0.072107,0.030361,0.300448,0.404506,0.339249,0.299845
2021,Catawba,8,88.377007,92.755068,72.875,9.428059,4.62873,0,0,0,0,0.073013,0,0.263158,0.205832,0.277778,0.722222,0.446429,0.5,0.096055,0.013722,0.339286,0.459902,0.346975,0.293781
2021,Cedarville,15,76.379678,138.642413,67.9,12.042084,-32.757524,0,0,0,0,0.000117,0,0.210526,0.191458,0.173913,0.826087,0.070175,0.318182,0.103093,0,0.333333,0.460777,0.332822,0.30318
2021,Cent Baptist,13,80.410851,99.419896,70.9,2.060422,-9.239398,0,0,2,0,0.030582,0,0.290323,0.260931,0.328358,0.671642,0.461538,0.277778,0.105783,0.028209,0.298077,0.338527,0.329668,0.345815
2021,Champ Chrstn,16,67.969045,122.829264,71.803571,-1.347547,-36.862302,0,0,6,0,0.004734,0,0.244898,0.276548,0.259434,0.740566,0.195822,0.416667,0.075603,0.033822,0.383812,0.345537,0.360748,0.311715
2021,Charleston,8,108.974864,104.330774,65.880263,5.264875,4.213196,0,5,1,0,0.580911,0,0.374408,0.157383,0.255217,0.744783,0.291745,0.417879,0.07989,0.042342,0.395872,0.388516,0.336115,0.292325
2021,Charleston So,13,92.958571,104.200319,70.646429,0.791547,-7.540956,0,0,12,0,0.237702,0,0.316206,0.23322,0.285333,0.714667,0.30203,0.454167,0.086952,0.054598,0.428088,0.367854,0.335138,0.327672
2021,Charlotte,8,98.879313,97.928233,66.156,8.355135,4.859326,4,0,2,0,0.145097,0,0.324263,0.202552,0.22108,0.77892,0.383822,0.517431,0.08223,0.044138,0.349722,0.376873,0.340098,0.294858
2021,Chattanooga,6,106.881313,98.316779,69.145192,5.321742,8.791615,1,5,1,0,0.57446,0,0.359143,0.160754,0.246311,0.753689,0.281866,0.478261,0.099011,0.0267,0.398817,0.407435,0.331222,0.277219
2021,Chicago St,14,81.459414,120.298383,71.427778,10.960942,-19.772181,0,0,2,1,0.008669,0,0.251232,0.21778,0.230769,0.769231,0.253521,0.494444,0.076223,0.020222,0.408451,0.348828,0.348891,0.292623
2021,Chowan,13,101.786432,126.192843,77.2,9.545245,-11.253686,0,0,0,0,0.006295,0,0.28125,0.220207,0.380952,0.619048,0.52459,0.5,0.07772,0.012953,0.52459,0.404663,0.341564,0.386345
