slot,round_order,round_name,region,team_a,team_b,p_team_a,p_team_b,team_a_win_rate,is_locked,team_b_win_rate,winner
R2_MIDWEST_1,2,Round of 32,MIDWEST,UMBC,Georgia,0.12817767684680034,0.8718223231531995,0.86,False,0.14,UMBC
R2_MIDWEST_1,2,Round of 32,MIDWEST,UMBC,Saint Louis,0.348963667855054,0.6510363321449459,0.6976744186046512,False,0.3023255813953488,UMBC
R2_MIDWEST_2,2,Round of 32,MIDWEST,Akron,Alabama,0.15050527964460303,0.849494720355397,0.8393574297188755,False,0.1606425702811245,Akron
R2_MIDWEST_2,2,Round of 32,MIDWEST,Akron,Hofstra,0.2660835520415077,0.7339164479584923,0.7165354330708661,False,0.2834645669291339,Akron
R2_MIDWEST_2,2,Round of 32,MIDWEST,Texas Tech,Alabama,0.6861140386225788,0.3138859613774212,0.319135204904808,False,0.680864795095192,Alabama
R2_MIDWEST_2,2,Round of 32,MIDWEST,Texas Tech,Hofstra,0.8172868722381362,0.1827131277618638,0.8157377049180328,False,0.18426229508196723,Texas Tech
R2_MIDWEST_3,2,Round of 32,MIDWEST,Miami OH,Virginia,0.5486995828112188,0.4513004171887813,0.46636085626911317,False,0.5336391437308868,Virginia
R2_MIDWEST_3,2,Round of 32,MIDWEST,Miami OH,Wright St,0.9150778137425911,0.08492218625740888,0.9264705882352942,False,0.07352941176470584,Miami OH
R2_MIDWEST_3,2,Round of 32,MIDWEST,SMU,Virginia,0.4432217791427008,0.5567782208572992,0.43820224719101125,False,0.5617977528089888,Virginia
R2_MIDWEST_3,2,Round of 32,MIDWEST,SMU,Wright St,0.87585596084135,0.12414403915865013,0.88,False,0.12,SMU
R2_MIDWEST_3,2,Round of 32,MIDWEST,Tennessee,Virginia,0.557073224207146,0.442926775792854,0.44605475040257647,False,0.5539452495974235,Virginia
R2_MIDWEST_3,2,Round of 32,MIDWEST,Tennessee,Wright St,0.9176734610268247,0.08232653897317532,0.9368421052631579,False,0.06315789473684208,Tennessee
R2_MIDWEST_4,2,Round of 32,MIDWEST,Kentucky,Iowa State,0.8614669815814008,0.13853301841859922,0.13553259141494436,False,0.8644674085850557,Iowa State
R2_MIDWEST_4,2,Round of 32,MIDWEST,Kentucky,Tennessee St,0.9042718512703747,0.09572814872962544,0.9035861258083481,False,0.09641387419165193,Kentucky
R2_MIDWEST_4,2,Round of 32,MIDWEST,Santa Clara,Iowa State,0.5155521946768774,0.4844478053231226,0.47058823529411764,False,0.5294117647058824,Iowa State
R2_MIDWEST_4,2,Round of 32,MIDWEST,Santa Clara,Tennessee St,0.6178230731559855,0.3821769268440145,0.595679012345679,False,0.404320987654321,Santa Clara
R2_SOUTH_1,2,Round of 32,SOUTH,Florida,Clemson,0.9123329754385157,0.08766702456148445,0.9176136363636364,False,0.08238636363636365,Florida
R2_SOUTH_1,2,Round of 32,SOUTH,Florida,Iowa,0.9642635706776048,0.03573642932239518,0.9693343305908751,False,0.03066566940912485,Florida
R2_SOUTH_1,2,Round of 32,SOUTH,Lehigh,Clemson,0.23974325688922254,0.7602567431107774,0.7457627118644068,False,0.2542372881355932,Lehigh
R2_SOUTH_1,2,Round of 32,SOUTH,Lehigh,Iowa,0.4498312003909625,0.5501687996090374,0.48148148148148145,False,0.5185185185185186,Iowa
R2_SOUTH_1,2,Round of 32,SOUTH,Prairie View,Clemson,0.21650474688483748,0.7834952531151625,0.7727272727272727,False,0.2272727272727273,Prairie View
R2_SOUTH_1,2,Round of 32,SOUTH,Prairie View,Iowa,0.4174092870667078,0.5825907129332921,0.5384615384615384,False,0.46153846153846156,Prairie View
R2_SOUTH_2,2,Round of 32,SOUTH,McNeese,Nebraska,0.6037778881058227,0.39622211189417733,0.6394366197183099,False,0.3605633802816901,McNeese
R2_SOUTH_2,2,Round of 32,SOUTH,McNeese,Troy,0.3963778761979364,0.6036221238020636,0.59688995215311,False,0.40311004784689,McNeese
R2_SOUTH_2,2,Round of 32,SOUTH,Vanderbilt,Nebraska,0.8369237409318346,0.16307625906816536,0.847008547008547,False,0.152991452991453,Vanderbilt
R2_SOUTH_2,2,Round of 32,SOUTH,Vanderbilt,Troy,0.6886259204475715,0.31137407955242846,0.3076923076923077,False,0.6923076923076923,Troy
R2_SOUTH_3,2,Round of 32,SOUTH,North Carolina,Illinois,0.12935012756098765,0.8706498724390124,0.8730634682658671,False,0.12693653173413288,North Carolina
R2_SOUTH_3,2,Round of 32,SOUTH,North Carolina,Penn,0.4145326586922078,0.5854673413077922,0.42857142857142855,False,0.5714285714285714,Penn
R2_SOUTH_3,2,Round of 32,SOUTH,VCU,Illinois,0.13260244859190304,0.8673975514080969,0.8632075471698113,False,0.1367924528301887,VCU
R2_SOUTH_3,2,Round of 32,SOUTH,VCU,Penn,0.4214842193427419,0.5785157806572581,0.5750528541226215,False,0.4249471458773785,VCU
R2_SOUTH_4,2,Round of 32,SOUTH,Saint Mary's,Houston,0.44410003584101276,0.5558999641589872,0.4453004622496148,False,0.5546995377503852,Houston
R2_SOUTH_4,2,Round of 32,SOUTH,Saint Mary's,Idaho,0.8300506566298054,0.16994934337019463,0.21662468513853905,False,0.783375314861461,Idaho
R2_SOUTH_4,2,Round of 32,SOUTH,Texas A&M,Houston,0.34936289494967576,0.6506371050503242,0.6581691772885284,False,0.3418308227114716,Texas A&M
R2_SOUTH_4,2,Round of 32,SOUTH,Texas A&M,Idaho,0.7665056132217677,0.2334943867782323,0.7793594306049823,False,0.22064056939501775,Texas A&M
R2_WEST_1,2,Round of 32,WEST,Arizona,Utah State,0.8235229347612678,0.17647706523873216,0.8331151832460733,False,0.16688481675392675,Arizona
R2_WEST_1,2,Round of 32,WEST,Arizona,Villanova,0.7367177284927358,0.26328227150726424,0.2836767036450079,False,0.7163232963549921,Villanova
R2_WEST_1,2,Round of 32,WEST,Long Island,Utah State,0.5342063487666538,0.46579365123334615,0.5,False,0.5,Long Island
R2_WEST_1,2,Round of 32,WEST,Long Island,Villanova,0.4074823771859173,0.5925176228140827,0.6305841924398625,False,0.3694158075601375,Long Island
R2_WEST_2,2,Round of 32,WEST,High Point,Arkansas,0.17937363760709502,0.820626362392905,0.8388625592417062,False,0.16113744075829384,High Point
R2_WEST_2,2,Round of 32,WEST,High Point,Hawai'i,0.3152194656030526,0.6847805343969474,0.7325581395348837,False,0.2674418604651163,High Point
R2_WEST_2,2,Round of 32,WEST,Wisconsin,Arkansas,0.7763686663572346,0.22363133364276544,0.7714904143475572,False,0.22850958565244284,Wisconsin
R2_WEST_2,2,Round of 32,WEST,Wisconsin,Hawai'i,0.8796792497076632,0.1203207502923369,0.8808713410483322,False,0.1191286589516678,Wisconsin
R2_WEST_3,2,Round of 32,WEST,BYU,Gonzaga,0.5085009037364895,0.4914990962635105,0.4857142857142857,False,0.5142857142857142,Gonzaga
R2_WEST_3,2,Round of 32,WEST,BYU,Kennesaw St,0.6100436604401616,0.38995633955983844,0.37,False,0.63,Kennesaw St
R2_WEST_3,2,Round of 32,WEST,NC State,Gonzaga,0.7668614549888074,0.23313854501119258,0.7705563761693747,False,0.22944362383062533,NC State
R2_WEST_3,2,Round of 32,WEST,NC State,Kennesaw St,0.8325992946883501,0.16740070531164986,0.8177004538577912,False,0.18229954614220878,NC State
R2_WEST_3,2,Round of 32,WEST,Texas,Gonzaga,0.311703410221916,0.6882965897780841,0.6964285714285714,False,0.3035714285714286,Texas
R2_WEST_3,2,Round of 32,WEST,Texas,Kennesaw St,0.40644558108469137,0.5935544189153086,0.3333333333333333,False,0.6666666666666667,Kennesaw St
R2_WEST_4,2,Round of 32,WEST,Miami,Purdue,0.1310811080951714,0.8689188919048286,0.8637083993660856,False,0.13629160063391443,Miami
R2_WEST_4,2,Round of 32,WEST,Miami,Queens,0.5359100127227163,0.4640899872772836,0.45454545454545453,False,0.5454545454545454,Queens
R2_WEST_4,2,Round of 32,WEST,Missouri,Purdue,0.4866160657136035,0.5133839342863965,0.4963060686015831,False,0.5036939313984169,Purdue
R2_WEST_4,2,Round of 32,WEST,Missouri,Queens,0.8788700133945008,0.12112998660549923,0.8844621513944223,False,0.1155378486055777,Missouri
R3_EAST_1,3,Sweet 16,EAST,Duke,CA Baptist,0.3596836643578396,0.6403163356421603,0.63189448441247,False,0.36810551558753,Duke
R3_EAST_1,3,Sweet 16,EAST,Duke,Kansas,0.496460356709659,0.503539643290341,0.4807692307692308,False,0.5192307692307692,Kansas
R3_EAST_1,3,Sweet 16,EAST,Duke,Northern Iowa,0.760993671145428,0.2390063288545721,0.7111111111111111,False,0.28888888888888886,Duke
R3_EAST_1,3,Sweet 16,EAST,Duke,St John's,0.5403259217578065,0.45967407824219353,0.5207547169811321,False,0.47924528301886793,Duke
R3_EAST_1,3,Sweet 16,EAST,Ohio State,CA Baptist,0.3050993300434285,0.6949006699565715,0.6915052160953801,False,0.30849478390461993,Ohio State
R3_EAST_1,3,Sweet 16,EAST,Ohio State,Kansas,0.4352277894818967,0.5647722105181032,0.42424242424242425,False,0.5757575757575757,Kansas
R3_EAST_1,3,Sweet 16,EAST,Ohio State,Northern Iowa,0.7133562693817123,0.28664373061828774,0.23684210526315788,False,0.7631578947368421,Northern Iowa
R3_EAST_1,3,Sweet 16,EAST,Ohio State,St John's,0.47882783746680224,0.5211721625331978,0.5113350125944585,False,0.48866498740554154,Ohio State
R3_EAST_1,3,Sweet 16,EAST,Siena,CA Baptist,0.26177768580136146,0.7382223141986386,0.7521551724137931,False,0.24784482758620685,Siena
R3_EAST_1,3,Sweet 16,EAST,Siena,Kansas,0.3836295432081869,0.6163704567918131,0.38071065989847713,False,0.6192893401015229,Kansas
R3_EAST_1,3,Sweet 16,EAST,Siena,Northern Iowa,0.6677714860143725,0.33222851398562747,0.7966101694915254,False,0.2033898305084746,Siena
R3_EAST_1,3,Sweet 16,EAST,Siena,St John's,0.42595912716607115,0.5740408728339288,0.5884476534296029,False,0.4115523465703971,Siena
R3_EAST_1,3,Sweet 16,EAST,TCU,CA Baptist,0.21347903889250913,0.7865209611074909,0.21474358974358973,False,0.7852564102564102,CA Baptist
R3_EAST_1,3,Sweet 16,EAST,TCU,Kansas,0.32267575448246016,0.6773242455175399,0.6644295302013423,False,0.3355704697986577,TCU
R3_EAST_1,3,Sweet 16,EAST,TCU,Northern Iowa,0.606062698193815,0.393937301806185,0.4722222222222222,False,0.5277777777777778,Northern Iowa
R3_EAST_1,3,Sweet 16,EAST,TCU,St John's,0.36223226880552617,0.6377677311944738,0.6915887850467289,False,0.30841121495327106,TCU
R3_EAST_2,3,Sweet 16,EAST,Louisville,Furman,0.5896880771950669,0.4103119228049331,0.6565656565656566,False,0.3434343434343434,Louisville
R3_EAST_2,3,Sweet 16,EAST,Louisville,UCF,0.32777437559159395,0.672225624408406,0.3343108504398827,False,0.6656891495601174,UCF
R3_EAST_2,3,Sweet 16,EAST,Louisville,UCLA,0.30407494406101077,0.6959250559389892,0.7014925373134329,False,0.29850746268656714,Louisville
R3_EAST_2,3,Sweet 16,EAST,Louisville,UConn,0.4172633637590413,0.5827366362409587,0.4188679245283019,False,0.5811320754716981,UConn
R3_EAST_2,3,Sweet 16,EAST,Michigan St,Furman,0.7918640427536423,0.20813595724635772,0.8009259259259259,False,0.19907407407407407,Michigan St
R3_EAST_2,3,Sweet 16,EAST,Michigan St,UCF,0.5634691676777597,0.4365308323222403,0.45394006659267483,False,0.5460599334073252,UCF
R3_EAST_2,3,Sweet 16,EAST,Michigan St,UCLA,0.5363244844685245,0.46367551553147546,0.5243445692883895,False,0.47565543071161054,Michigan St
R3_EAST_2,3,Sweet 16,EAST,Michigan St,UConn,0.6546414198957625,0.3453585801042375,0.6332378223495702,False,0.36676217765042984,Michigan St
R3_EAST_2,3,Sweet 16,EAST,N Dakota St,Furman,0.5619291623233736,0.4380708376766264,0.5333333333333333,False,0.4666666666666667,N Dakota St
R3_EAST_2,3,Sweet 16,EAST,N Dakota St,UCF,0.3032330313293689,0.696766968670631,0.74,False,0.26,N Dakota St
R3_EAST_2,3,Sweet 16,EAST,N Dakota St,UCLA,0.2805674400121748,0.7194325599878252,0.751131221719457,False,0.248868778280543,N Dakota St
R3_EAST_2,3,Sweet 16,EAST,N Dakota St,UConn,0.38990807348198486,0.6100919265180151,0.38323353293413176,False,0.6167664670658682,UConn
R3_EAST_2,3,Sweet 16,EAST,South Florida,Furman,0.46276586772663897,0.537234132273361,0.5555555555555556,False,0.4444444444444444,South Florida
R3_EAST_2,3,Sweet 16,EAST,South Florida,UCF,0.2261538855768676,0.7738461144231323,0.8231292517006803,False,0.1768707482993197,South Florida
R3_EAST_2,3,Sweet 16,EAST,South Florida,UCLA,0.20753364254418358,0.7924663574558164,0.7346938775510204,False,0.26530612244897955,South Florida
R3_EAST_2,3,Sweet 16,EAST,South Florida,UConn,0.30029225207105337,0.6997077479289466,0.7804878048780488,False,0.2195121951219512,South Florida
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Georgia,Akron,0.8712204128089909,0.12877958719100913,0.8857142857142857,False,0.11428571428571432,Georgia
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Georgia,Alabama,0.5451638440884822,0.4548361559115178,0.5625,False,0.4375,Georgia
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Georgia,Hofstra,0.7103753790710675,0.2896246209289325,0.6771653543307087,False,0.3228346456692913,Georgia
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Georgia,Texas Tech,0.3541458231582397,0.6458541768417603,0.657258064516129,False,0.342741935483871,Georgia
