season,team_a,team_b,score_a,score_b,neutral_site,round_name,game_date,home_team,home_edge_a,rest_days_a,rest_days_b,market_prob_a,market_spread_a,moneyline_a,moneyline_b
2024,Buffalo,FDU,86,92,0,Regular Season,2023-11-07,Buffalo,1,,,,,,
2024,Bowling Green,Chicago St,70,41,0,Regular Season,2023-11-07,Bowling Green,1,,,,,,
2024,Miami,NJIT,101,60,0,Regular Season,2023-11-07,Miami,1,,,,,,
2024,Kentucky,New Mexico St,86,46,0,Regular Season,2023-11-07,Kentucky,1,,,,,,
2024,S Dakota St,Akron,75,81,0,Regular Season,2023-11-07,S Dakota St,1,,,,,,
2024,Alabama,Morehead St,105,73,0,Regular Season,2023-11-07,Alabama,1,,,,,,
2024,Howard,Hampton,92,80,0,Regular Season,2023-11-07,Howard,1,,,,,,
2024,SMU,SW Asm of God,82,63,0,Regular Season,2023-11-07,SMU,1,,,,,,
2024,UTSA,W Illinois,78,68,0,Regular Season,2023-11-07,UTSA,1,,,,,,
2024,South Carolina,SC Upstate,82,53,0,Regular Season,2023-11-07,South Carolina,1,,,,,,
2024,La Salle,Drexel,67,61,0,Big 5 Classic,2023-11-07,La Salle,1,,,,,,
2024,Temple,MD Eastern,85,65,0,Regular Season,2023-11-07,Temple,1,,,,,,
2024,BYU,Hou Christian,110,63,0,Regular Season,2023-11-07,BYU,1,,,,,,
2024,Utah,E Washington,101,66,0,Regular Season,2023-11-07,Utah,1,,,,,,
2024,Idaho St,Warner Pac,92,36,0,Regular Season,2023-11-07,Idaho St,1,,,,,,
2024,N Colorado,Colorado Coll,87,58,0,Regular Season,2023-11-07,N Colorado,1,,,,,,
2024,Air Force,Portland St,55,62,0,Regular Season,2023-11-07,Air Force,1,,,,,,
2024,Stanford,CSU Northridge,88,79,0,Regular Season,2023-11-07,Stanford,1,,,,,,
2024,UC San Diego,Denver,95,87,0,Regular Season,2023-11-07,UC San Diego,1,,,,,,
2024,Northeastern,Boston U,67,58,0,Regular Season,2023-11-07,Northeastern,1,,,,,,
2024,William & Mary,Regent,84,29,0,Regular Season,2023-11-07,William & Mary,1,,,,,,
2024,Duquesne,Cleveland St,79,77,0,Regular Season,2023-11-07,Duquesne,1,,,,,,
2024,Rider,Immaculata,113,67,0,Regular Season,2023-11-07,Rider,1,,,,,,
2024,Siena,Holy Cross,73,71,0,Regular Season,2023-11-07,Siena,1,,,,,,
2024,Norfolk St,Wilkes-Barre,102,55,0,Regular Season,2023-11-07,Norfolk St,1,,,,,,
